week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,
4/18/2020,4/11/2020,04000US48,Texas,280761,911923,12304547,7.41,4/1/2020
4/11/2020,4/4/2020,04000US48,Texas,274257,632470,12304547,5.14,4/1/2020
4/4/2020,3/28/2020,04000US48,Texas,315167,374656,12236594,3.06,4/1/2020
3/28/2020,3/21/2020,04000US48,Texas,276185,144697,12236594,1.18,3/1/2020
3/21/2020,3/14/2020,04000US48,Texas,155426,126427,12236594,1.03,3/1/2020
3/14/2020,3/7/2020,04000US48,Texas,16176,127905,12236594,1.05,3/1/2020
3/7/2020,2/29/2020,04000US48,Texas,14355,125252,12236594,1.02,3/1/2020
2/29/2020,2/22/2020,04000US48,Texas,12692,133247,12236594,1.09,2/1/2020
2/22/2020,2/15/2020,04000US48,Texas,12047,127275,12236594,1.04,2/1/2020
2/15/2020,2/8/2020,04000US48,Texas,12790,133475,12236594,1.09,2/1/2020
2/8/2020,2/1/2020,04000US48,Texas,13869,128666,12236594,1.05,2/1/2020
2/1/2020,1/25/2020,04000US48,Texas,13818,140826,12236594,1.15,2/1/2020
1/25/2020,1/18/2020,04000US48,Texas,13070,132656,12236594,1.08,1/1/2020
1/18/2020,1/11/2020,04000US48,Texas,15783,145126,12236594,1.19,1/1/2020
1/11/2020,1/4/2020,04000US48,Texas,21902,140768,12236594,1.15,1/1/2020
1/4/2020,12/28/2019,04000US48,Texas,12367,141473,12168097,1.16,1/1/2020
12/28/2019,12/21/2019,04000US48,Texas,8947,119380,12168097,0.98,12/1/2019
12/21/2019,12/14/2019,04000US48,Texas,12589,133899,12168097,1.1,12/1/2019
12/14/2019,12/7/2019,04000US48,Texas,15037,122185,12168097,1,12/1/2019
12/7/2019,11/30/2019,04000US48,Texas,20649,135760,12168097,1.12,12/1/2019
11/30/2019,11/23/2019,04000US48,Texas,10359,115092,12168097,0.95,11/1/2019
11/23/2019,11/16/2019,04000US48,Texas,16139,120254,12168097,0.99,11/1/2019
